source,destination,median_delay_ratio,pct_delayed,volume,median_actual_time,median_osrm_time,is_chronic,delay_volume_score
IND585104AAA,IND586128AAA,1.4285714285714286,0.8854961832061069,131,14.0,9.0,1,187.14285714285714
IND603301AAA,IND600044AAD,1.6666666666666667,0.7589285714285714,112,10.5,7.0,1,186.66666666666669
IND160102AAC,IND160002AAC,1.6666666666666667,0.7767857142857143,112,14.0,9.5,1,186.66666666666669
IND562132AAA,IND560058AAD,1.6666666666666667,0.625,112,21.5,18.0,1,186.66666666666669
IND248001AAA,IND131028AAB,1.7257053291536049,0.8148148148148148,108,48.0,26.0,1,186.37617554858932
IND501359AAE,IND518002AAA,1.4666666666666666,0.8818897637795275,127,29.0,18.0,1,186.26666666666665
IND411033AAA,IND416012AAA,1.4761904761904763,0.8015873015873016,126,31.0,21.0,1,186.0
IND273014AAB,IND277303AAC,2.064583333333333,0.9888888888888889,90,36.0,17.0,1,185.8125
IND600032AAB,IND600076AAB,2.2,0.9523809523809523,84,18.0,8.5,1,184.8
IND712103AAA,IND712310AAE,2.430769230769231,1.0,76,28.0,9.0,1,184.73846153846156
IND211002AAB,IND485001AAC,2.359210526315789,1.0,78,53.0,22.0,1,184.01842105263157
